,VIX,FX,Correlation,Scenario
0,15.0,1200.0,-0.4,FX_Surge
1,15.063347927645111,1211.4830923650438,-0.38486175121230876,FX_Surge
2,13.811999957020806,1223.0265183150136,-0.38840740335851504,FX_Surge
3,13.684727370060948,1222.6430588860628,-0.34695063225652956,FX_Surge
4,11.637660571552102,1233.3986677545506,-0.3768852373518507,FX_Surge
5,12.65022833491857,1231.0499405257053,-0.3584254207064903,FX_Surge
6,11.93926709737656,1233.3218997144263,-0.37203364551691714,FX_Surge
7,13.313147909124373,1231.643339379929,-0.3611504235030348,FX_Surge
8,13.165781157638826,1225.828150128868,-0.36382208255490006,FX_Surge
9,12.968531986847085,1232.2060993513871,-0.3559368486290719,FX_Surge
10,13.744522648396366,1217.2995949013998,-0.35830029662321805,FX_Surge
11,14.381422417501106,1214.2524046176375,-0.3578352480770673,FX_Surge
12,15.438279994136334,1218.9526431937313,-0.3989246731107958,FX_Surge
13,15.045434079102318,1240.5624926062494,-0.39686983779326657,FX_Surge
14,14.926022390493477,1223.262688273607,-0.3794163474575557,FX_Surge
15,13.561891592567026,1230.3982138865924,-0.3850826499213413,FX_Surge
16,15.44172353804878,1241.1547094970767,-0.39111764259213433,FX_Surge
17,14.37476601961387,1214.6486048495394,-0.44938248971452865,FX_Surge
18,15.287170912399256,1219.8421960043672,-0.39348324311360394,FX_Surge
19,15.933206931143301,1230.7970190561207,-0.4358157442195787,FX_Surge
20,16.053147506528287,1242.5228665009035,-0.44719716342411786,FX_Surge
21,15.499812880643315,1240.1173228426007,-0.46140805452650396,FX_Surge
22,14.987133248261392,1247.0015189620594,-0.4402238895701452,FX_Surge
23,14.926916956442959,1250.1630913836264,-0.4219202662543591,FX_Surge
24,13.044953337658086,1222.2200857706464,-0.39775598405475365,FX_Surge
25,13.605368300059334,1225.3658060282455,-0.37709063360288947,FX_Surge
26,15.509508749704574,1217.1206320275467,-0.32996859041898846,FX_Surge
27,15.130804635920965,1206.7222433409238,-0.3531374979246973,FX_Surge
28,15.058823078375125,1245.7965736634158,-0.3874476310077105,FX_Surge
29,14.017058615091962,1270.0861686362123,-0.3970027136398959,FX_Surge
30,14.497628339406647,1246.457910497453,-0.43075919681149066,FX_Surge
31,13.870370673964988,1252.1535602042152,-0.43496480544483185,FX_Surge
32,15.059115973513315,1281.3350750866143,-0.47450376555641605,FX_Surge
33,16.18270944435621,1247.873579425738,-0.4846746471260175,FX_Surge
34,17.187493236533,1250.8544048992424,-0.5183637895372052,FX_Surge
35,15.087702428075543,1255.8317073384842,-0.4584355658123441,FX_Surge
36,15.784102198638271,1230.462904344841,-0.44341565685802403,FX_Surge
37,16.195861483934088,1239.567791111205,-0.37832301228109405,FX_Surge
38,15.422032430466118,1265.6413606290214,-0.34934154156493724,FX_Surge
39,16.488100229067776,1301.3438300710088,-0.3231971568096583,FX_Surge
40,16.45611561067963,1296.09489044048,-0.34274813376458296,FX_Surge
41,17.392396769342227,1350.5716104255364,-0.3394975597217891,FX_Surge
42,15.407057548837015,1292.703686678193,-0.378490349939629,FX_Surge
