,SPX,FX,US_10Y,KR_10Y,VIX,KOSPI,Yield_Spread,FX_MA_Divergence,VIX_Change,Returns_SPX,Swap_Point_Proxy
2025-12-30,6929.94,1445.0,4.134,3.37,20.0,554.3951999999999,-0.7640000000000002,0.0,0.0,0.0,-0.083083333
2025-12-31,6898.359136066424,1461.7885204264762,4.163590029069902,3.399590029069902,20.086786805661536,551.868730885314,-0.7640000000000002,0.0,0.004339340283076698,-0.004557162678692106,-0.083083333
2026-01-01,6992.8635368452715,1469.4273912248766,4.190660017622449,3.426660017622449,20.77489255949395,559.4290829476217,-0.7639999999999998,0.0,0.034256636488941394,0.013699547807645152,-0.083083333
2026-01-02,6930.657417821036,1479.9652807549553,4.197667051480896,3.4336670514808962,18.67916436906753,554.4525934256828,-0.7639999999999998,0.0,-0.1008779315909718,-0.00889565750803989,-0.083083333
2026-01-05,6851.451746132703,1463.2716516765047,4.213972037578599,3.4499720375785987,18.62078409623764,548.1161396906163,-0.7640000000000002,0.0,-0.0031254220840074565,-0.01142830570223663,-0.083083333
2026-01-06,6851.184023985323,1460.087978680092,4.221619820932827,3.457619820932827,17.188930648593058,548.0947219188258,-0.7640000000000002,0.0,-0.07689544329843179,-3.907524380242222e-05,-0.083083333
2026-01-07,6793.264503076305,1461.642497374897,4.234043411863779,3.470043411863779,16.40629852990806,543.4611602461044,-0.7640000000000002,0.0,-0.045531169721081954,-0.008453943246342077,-0.083083333
2026-01-08,6606.236988447556,1423.4983132748227,4.230656195596141,3.46665619559614,15.767058028519168,528.4989590758045,-0.7640000000000007,0.0,-0.03896311530742791,-0.027531316430275177,-0.083083333
2026-01-09,6653.204307014917,1415.1297900806865,4.230444759637426,3.4664447596374255,14.69673220203957,532.2563445611934,-0.7640000000000007,0.0,-0.06788367395766615,0.00710954188435764,-0.083083333
2026-01-12,6590.395992328666,1426.37371549138,4.285410650910619,3.5214106509106187,14.451588219810754,527.2316793862933,-0.7640000000000007,0.0,-0.01668016936409822,-0.00944031053127703,-0.083083333
2026-01-13,6735.537558271529,1440.5623331212494,4.318891633486557,3.5548916334865566,14.956821706119337,538.8430046617223,-0.7640000000000007,0.0,0.034960412559776,0.022023193463914792,-0.083083333
2026-01-14,6658.64849827761,1440.8645611355137,4.311078045074686,3.547078045074686,14.062167638128333,532.6918798622088,-0.7640000000000002,0.0,-0.05981578744266047,-0.011415430368953317,-0.083083333
2026-01-15,6743.913582341835,1415.730975859025,4.343662414304572,3.5796624143045714,13.472343920350363,539.5130865873468,-0.7640000000000007,0.0,-0.04194401126172853,0.01280516370345719,-0.083083333
