Date,KOSPI,FX,US_10Y,KR_1M,US_1M,KR_10Y,SPX,Returns_SPX,VIX,Yield_Spread,Swap_Point_Proxy,FX_MA_Divergence,VIX_Change,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
2020-01-02,290.35,1159.0,1.877,1.33,1.532,1.65,3257.85,0.01134949,8.411408952,-0.227,-0.016833333,-0.0137723,0.098270501,,,,,
2020-01-03,290.74,1167.5,1.793,1.33,1.524,1.58,3234.85,-0.007059871,8.708800723,-0.213,-0.016166667,-0.005587449,0.035355762,,,,,
2020-01-06,288.43,1170.0,1.809,1.32,1.532,1.54,3246.28,0.003533394,7.977626063,-0.269,-0.017666667,-0.002481009,-0.083958134,,,,,
2020-01-07,291.23,1166.5,1.811,1.32,1.514,1.61,3237.18,-0.002803209,7.580420229,-0.201,-0.016166667,-0.004425251,-0.049789979,,,,,
2020-01-08,289.42,1169.0,1.874,1.31,1.504,1.61,3253.05,0.004902415,7.499806725,-0.264,-0.016166667,-0.001418004,-0.010634437,,,,,
2020-01-09,294.41,1160.0,1.855,1.31,1.519,1.66,3274.7,0.006655293,7.658490535,-0.195,-0.017416667,-0.007792252,0.021158387,,,,,
2020-01-10,297.06,1161.5,1.82,1.31,1.522,1.7,3265.35,-0.002855223,7.436957703,-0.12,-0.017666667,-0.005211612,-0.028926435,,,,,
2020-01-13,300.13,1157.0,1.848,1.31,1.527,1.73,3288.13,0.006976281,7.432144754,-0.118,-0.018083333,-0.007463327,-0.000647166,,,,,
2020-01-14,301.53,1158.5,1.813,1.31,1.529,1.72,3283.15,-0.001514539,7.455455835,-0.093,-0.01825,-0.004874697,0.003136521,,,,,
2020-01-15,299.74,1158.0,1.786,1.31,1.534,1.7,3289.29,0.001870155,7.451023803,-0.086,-0.018666667,-0.004705731,-0.000594468,,,,,
2020-01-16,302.78,1160.5,1.809,1.31,1.514,1.69,3316.81,0.008366547,7.429573235,-0.119,-0.017,-0.002020897,-0.002878875,,,,,
2020-01-17,303.3,1159.0,1.825,1.31,1.534,1.73,3329.62,0.003862145,7.416728219,-0.095,-0.018666667,-0.00296787,-0.001728904,,,,,
2020-01-20,305.58,1160.5,1.823,1.31,1.539,1.77,3329.62,0.0,7.24435225,-0.053,-0.019083333,-0.00133385,-0.023241511,,,,,
2020-01-21,302.11,1167.0,1.774,1.31,1.519,1.71,3320.79,-0.002651954,7.392701275,-0.064,-0.017416667,0.004216505,0.020477887,,,,,
2020-01-22,306.08,1165.0,1.769,1.31,1.524,1.72,3321.75,0.000289088,7.370532383,-0.049,-0.017833333,0.00232298,-0.002998754,,,,,
2020-01-23,302.33,1168.0,1.731,1.31,1.534,1.72,3325.54,0.001140965,7.314118242,-0.011,-0.018666667,0.004731183,-0.007654012,,,,,
2020-01-28,292.77,1179.5,1.661,1.31,1.522,1.6,3276.24,-0.01482466,9.099174155,-0.061,-0.017666667,0.013947691,0.244056201,,,,,
2020-01-29,293.98,1179.0,1.581,1.31,1.524,1.6,3273.4,-0.000866847,9.116226059,0.019,-0.017833333,0.012777837,0.001874006,,,,,
2020-01-30,288.37,1189.0,1.591,1.31,1.532,1.54,3283.66,0.003134356,9.146276737,-0.051,-0.0185,0.020119257,0.003296395,,,,,
2020-01-31,284.53,1194.5,1.505,1.3,1.568,1.57,3225.52,-0.017705853,10.95347322,0.065,-0.022333333,0.023170157,0.197588214,,,,,
2020-02-03,285.05,1194.0,1.526,1.3,1.568,1.54,3248.92,0.007254644,11.23924773,0.014,-0.022333333,0.021211085,0.026089853,,,,,
2020-02-04,290.68,1188.5,1.603,1.29,1.542,1.61,3297.59,0.014980363,12.08916101,0.007,-0.021,0.015594958,0.075620122,,,,,
2020-02-05,292.02,1184.5,1.649,1.29,1.55,1.61,3334.69,0.011250641,12.07913882,-0.039,-0.021666667,0.011550204,-0.000829023,,,,,
2020-02-06,300.65,1184.0,1.644,1.29,1.552,1.62,3345.78,0.003325646,11.74528826,-0.024,-0.021833333,0.010368221,-0.027638606,,,,,
2020-02-07,298.21,1193.5,1.582,1.29,1.578,1.6,3327.71,-0.005400833,11.95254985,0.018,-0.024,0.017411504,0.01764636,,,,,
2020-02-10,296.24,1187.0,1.563,1.28,1.578,1.6,3352.09,0.00732636,12.04145651,0.037,-0.024833333,0.010707367,0.007438301,,,,,
