,VIX,FX,Correlation,Scenario
525,40.45284227879783,1000.0,0.33998172858118103,VIX_Sustained_High
526,40.31302693894247,1000.0,0.42041283813457814,VIX_Sustained_High
527,42.40066504171433,1000.0,0.5025360347382561,VIX_Sustained_High
530,40.2125326414,1000.0,0.3787688981298593,VIX_Sustained_High
532,45.575775598574424,1000.0,0.43228033274155175,VIX_Sustained_High
533,42.59908190024195,1000.0,0.5101548501680019,VIX_Sustained_High
534,42.159550043198166,1000.0,0.5511374494137986,VIX_Sustained_High
535,51.68013618942598,1000.0,0.5510423344432958,VIX_Sustained_High
536,50.576900148167965,1000.0,0.5619586232735874,VIX_Sustained_High
537,53.838748537399596,1000.0,0.6307451177210163,VIX_Sustained_High
538,45.41347170418096,1000.0,0.5260690454963829,VIX_Sustained_High
541,41.37107457197339,1000.0,0.32151986431984503,VIX_Sustained_High
542,44.740339922987246,1000.0,0.4219315026527073,VIX_Sustained_High
1060,45.37578655657904,1000.0,0.3758524858192691,VIX_Sustained_High
1061,46.849484408436396,1000.0,0.47375321283153266,VIX_Sustained_High
1062,48.870024192485616,1000.0,0.5339036079212606,VIX_Sustained_High
1063,57.83682786529041,1000.0,0.6256449255604979,VIX_Sustained_High
1064,55.36466926467286,1000.0,0.6459183566897749,VIX_Sustained_High
1065,51.09340040191904,1000.0,0.6764133871259644,VIX_Sustained_High
1066,52.96700360919698,1000.0,0.702040446150843,VIX_Sustained_High
1067,41.18736340386745,1000.0,0.5417813664396277,VIX_Sustained_High
1182,48.03375865670637,1000.0,0.3504997589353879,VIX_Sustained_High
1183,46.69555967531573,1000.0,0.4756119200989928,VIX_Sustained_High
1184,40.510882391963975,1000.0,0.5429794806612579,VIX_Sustained_High
1212,40.66557129081967,1000.0,0.2176394283086493,VIX_Sustained_High
1592,40.43178081491479,1000.0,0.19579862134750806,VIX_Sustained_High
1731,40.549288922499024,1000.0,0.405646503026396,VIX_Sustained_High
1732,40.635525194663174,1000.0,0.4621177078014569,VIX_Sustained_High
1733,42.403938434728545,1000.0,0.4967698529339765,VIX_Sustained_High
1916,42.034415411466284,1000.0,0.21074821948570577,VIX_Sustained_High
1917,48.35795139219418,1000.0,0.26285176939092403,VIX_Sustained_High
1918,45.282643013974884,1000.0,0.36910376430516517,VIX_Sustained_High
1920,40.43126907032429,1000.0,0.5148052448757374,VIX_Sustained_High
1960,48.23777445090388,1000.0,0.33143692297736593,VIX_Sustained_High
1961,41.9797553403726,1000.0,0.2947453047633067,VIX_Sustained_High
2034,42.7778312104995,1000.0,0.18838102051541014,VIX_Sustained_High
2035,44.505899315057626,1000.0,0.30607841681297704,VIX_Sustained_High
2036,53.3783070826739,1000.0,0.3846230938219582,VIX_Sustained_High
2037,46.63303587480024,1000.0,0.3241045094742262,VIX_Sustained_High
2038,42.44654669762098,1000.0,0.262738825210743,VIX_Sustained_High
2327,52.21081845904556,1000.0,0.2532382848542576,VIX_Sustained_High
2328,41.338182090793296,1000.0,0.0895176651591786,VIX_Sustained_High
2438,46.09008865456478,1000.0,0.3353232048041443,VIX_Sustained_High
2439,48.037804862329516,1000.0,0.41066739069122415,VIX_Sustained_High
2440,42.10377545531415,1000.0,0.38271640264977735,VIX_Sustained_High
2500,43.36538374458478,1000.0,0.32714164723763606,VIX_Sustained_High
2501,47.363455260755714,1000.0,0.361206815971703,VIX_Sustained_High
2502,55.068451095589445,1000.0,0.4422673681655812,VIX_Sustained_High
2503,49.345112421608185,1000.0,0.479293820585446,VIX_Sustained_High
2504,45.79827558938615,1000.0,0.5379700885505019,VIX_Sustained_High
2505,41.564464218469325,1000.0,0.48937480500041675,VIX_Sustained_High
2533,41.40103213525825,1000.0,0.22683063948662519,VIX_Sustained_High
2792,41.13919595268168,1000.0,0.47379479139957303,VIX_Sustained_High
2793,41.121183523821095,1000.0,0.5612061270270534,VIX_Sustained_High
2794,42.84148579477327,1000.0,0.5651953630043478,VIX_Sustained_High
2795,55.46229732187204,1000.0,0.5985847543048156,VIX_Sustained_High
2796,59.19946178673035,1000.0,0.6378995628171553,VIX_Sustained_High
2797,50.409263151991304,1000.0,0.4995151538085321,VIX_Sustained_High
2798,44.3389515321947,1000.0,0.41026812032346854,VIX_Sustained_High
2799,42.485712331904814,1000.0,0.4639936551573094,VIX_Sustained_High
2807,52.53202518189895,1000.0,0.5653591528311919,VIX_Sustained_High
2808,48.29649341275462,1000.0,0.4074492093286385,VIX_Sustained_High
3304,40.8926225649492,1000.0,0.13965984107470827,VIX_Sustained_High
3305,40.20934918366684,1000.0,0.1488674361483308,VIX_Sustained_High
3405,40.45887543644022,1000.0,0.2708874724855576,VIX_Sustained_High
3406,46.44385735585143,1000.0,0.32317533134419557,VIX_Sustained_High
3408,44.24487852841279,1000.0,0.4662587912352417,VIX_Sustained_High
3409,44.33586384332162,1000.0,0.2580283557582469,VIX_Sustained_High
3444,41.394434343052865,1000.0,0.187275632295808,VIX_Sustained_High
3445,53.18266917872376,1000.0,0.23985765546436116,VIX_Sustained_High
3446,54.45316935477043,1000.0,0.32242629683299906,VIX_Sustained_High
3447,59.296022958034584,1000.0,0.4037078356129078,VIX_Sustained_High
3448,59.626652726902066,1000.0,0.4279990205917887,VIX_Sustained_High
3449,54.67352108021815,1000.0,0.4836669977497753,VIX_Sustained_High
